text,canonical_form_1
69,69
@55,ass
@ssfcker,fuck
@ssfucker,fuck
@ssfvcker,fuck
@sshole,ass
0ral seks,sex
0ral sex,sex
0rg@sm,orgasm
0rgasms,orgasm
3jakulating,ejaculation
4r5e,arse
4r5ed,arse
4r5es,arse
4skin,foreskin
5h17,shit
5h1t,shit
5kank,skank
a_s_s,ass
abbie,abraham
abeed,abeed
aboe,abo
anal,anal
anal hole,anal
anal hore,anal
anal pirate,anal
analingus,anal
analplug,anal
analplugs,anal
anilingus,anal
animal fucker,fuck
anus,anus
anus plug,anus
ape shit,ape
ape shite,ape
apeshit,ape
apeshite,ape
ar5e,arse
ar5ehole,arse
arse,arse
arse gobbler,arse
arse hole,arse
arse-bandit,arse
arse-bandits,arse
arse-fucker,fuck
arse-fuckers,fuck
arse-hole,arse
arse-shagger,arse
arsefuck,fuck
arsefucker,fuck
arsehole,arse
arseshit,arse
arsewipe,arse
ashole,ass
ass,ass
ass bandit,ass
ass eating boiolas,ass
ass eating nob jokeys,ass
ass fecker,fuck
ass fuck,fuck
ass fucker,fuck
ass fucking boiolas,fuck
ass fucking nob jokeys,fuck
ass hole,ass
ass kisser,ass
ass licking,ass
ass muncher,ass
ass-bandit,ass
ass-fucker,fuck
ass-fuckers,fuck
ass-hole,ass
asses,ass
assface,ass
assfck,ass
assfcker,ass
assfk,ass
assfkcer,ass
assfker,ass
assfkr,ass
assfook,ass
assfuccer,ass
assfuck,fuck
assfuck3r,fuck
assfucker,fuck
assfuckers,fuck
assfuckerz,fuck
assfukah,fuck
assfukka,fuck
assfukker,fuck
assfukkerz,fuck
assfvck3r,fuck
assfvcker,fuck
asshat,ass
asshol3,ass
asshole,ass
asshole fucker,fuck
assholes,ass
assmunch,ass
assmuncher,ass
asswhole,ass
asswipe,ass
axe wound,wound
azz,ass
azzhole,ass
b to the inch,bitch
b！tch,bitch
b00bz,boobs
b0llock,bollocks
b0llocks,bollocks
b1+ch,bitch
b17ch,bitch
b1otch,bitch
b1otchs,bitch
b1tch,bitch
b1tch1ng,bitch
b1tch35,bitch
b1tch3s,bitch
b1tchees,bitch
b1tches,bitch
b1tchez,bitch
b1tchin,bitch
b1tching,bitch
b1tchs,bitch
b1tchy,bitch
baby batter,baby batter
ballbag,bollocks
bangbros,bang
bassturd,bastard
bastard,bastard
bastardish,bastard
bastards,bastard
basterd,bastard
bastid,bastard
bastinado,bastard
basturd,bastard
bater,masturbate
bates,masturbate
batshit,shit
batshite,shit
bbc,cock
bean queen,bean queen
beaner,beaner
beaners,beaner
beat my meat,meat
beat off,beat off
beat the meat,meat
beat your meat,meat
beeotch,bitch
